"Marca temporal","¿Cuál es su promedio académico actual?","¿Actualmente usted posee un trabajo remunerado?","Del 1 al 9 elija un número que no sea su número favorito"
"2024/10/18 6:01:45 a. m. GMT-5","4.0","Sí","7"
"2024/10/18 6:02:14 a. m. GMT-5","3,8","Sí","3"
"2024/10/18 6:03:53 a. m. GMT-5","3,4","No","1"
"2024/10/18 6:04:05 a. m. GMT-5","3.9","Sí","8"
"2024/10/18 6:05:00 a. m. GMT-5","4.1","No","8"
"2024/10/18 6:06:17 a. m. GMT-5","3.8","No","8"
"2024/10/18 6:07:11 a. m. GMT-5","4.0","No","5"
"2024/10/18 6:07:56 a. m. GMT-5","3.7","Sí","3"
"2024/10/18 6:10:24 a. m. GMT-5","4,0","Sí","5"
"2024/10/18 6:10:46 a. m. GMT-5","4.1","Sí","7"
"2024/10/18 6:31:27 a. m. GMT-5","4.2","Sí","4"
"2024/10/18 7:33:48 a. m. GMT-5","4.2","No","9"
"2024/10/18 8:03:42 a. m. GMT-5","3.9 ","No","9"
"2024/10/18 9:53:30 a. m. GMT-5","4.4","No","5"
"2024/10/18 3:03:25 p. m. GMT-5","3,8","No","7"
"2024/10/18 3:29:52 p. m. GMT-5","4.2","No","7"
"2024/10/18 4:26:30 p. m. GMT-5","3.9","No","1"
"2024/10/18 4:57:42 p. m. GMT-5","4.0","Sí","5"
"2024/10/18 5:02:40 p. m. GMT-5","3.7","No","8"
"2024/10/18 5:20:55 p. m. GMT-5","3,9","No","7"
"2024/10/18 5:22:37 p. m. GMT-5","4","No","5"
"2024/10/18 7:03:48 p. m. GMT-5","4","No","5"
"2024/10/18 7:05:20 p. m. GMT-5","4.1","No","1"
"2024/10/18 7:12:02 p. m. GMT-5","99.9","No","1"
"2024/10/18 7:17:56 p. m. GMT-5","3.92","No","6"
"2024/10/18 7:29:04 p. m. GMT-5","3.8","No","5"
"2024/10/19 9:13:59 a. m. GMT-5","4.19 ","Sí","4"
"2024/10/20 10:04:21 a. m. GMT-5","4.4","No","2"
"2024/10/20 11:29:14 a. m. GMT-5","4.5","Sí","7"
"2024/10/20 11:45:36 p. m. GMT-5","4.2","No","3"
"2024/10/21 10:26:44 a. m. GMT-5","3.46","Sí","5"
"2024/10/24 8:50:45 a. m. GMT-5","4.2","Sí","8"
