ESTU_CONSECUTIVO_S11,ESTU_GENERO_S11,edad_estudianteS11_S11,edadSaberPro_SPRO,COLE_DEPTO_UBICACION_S11,ESTU_DEPTO_RESIDE_SPRO,PERIODO_S11,PERIODO_SPRO,PUNT_MATEMATICAS_S11,PUNT_INGLES_S11,PUNT_C_NATURALES_S11,PUNT_LECTURA_CRITICA_S11,PUNT_SOCIALES_CIUDADANAS_S11,PUNT_GLOBAL_S11,MOD_RAZONA_CUANTITAT_PUNT_SPRO,MOD_LECTURA_CRITICA_PUNT_SPRO,MOD_COMPETEN_CIUDADA_PUNT_SPRO,MOD_INGLES_PUNT_SPRO,MOD_COMUNI_ESCRITA_PUNT_SPRO,PUNT_GLOBAL_SPRO,cambio_depto
SB11201220063114,M,16.922024623803008,25.91518467852257,HUILA,HUILA,20122,2021,34,46,45,46,44,212.6923076923077,125,93,101,117,155,118.2,TRUE
SB11201620041461,M,18.186046511627907,23.181942544459645,BOGOTA,BOGOTÁ,20162,2021,56,68,49,61,56,282.3076923076923,135,111,148,189,115,139.6,FALSE
SB11201420226085,F,17.53761969904241,24.533515731874147,VALLE,VALLE,20142,2021,75,79,56,72,64,338.46153846153845,203,218,173,204,117,183,TRUE
SB11201810018557,M,16.612859097127224,19.611491108071135,VALLE,VALLE,20181,2021,73,59,70,64,60,330.76923076923083,177,163,155,199,152,169.2,TRUE
SB11201420034963,F,17.461012311901506,24.456908344733243,BOGOTA,BOGOTÁ,20142,2021,59,85,67,72,71,343.0769230769231,131,168,176,300,167,188.4,FALSE
SB11201620293372,F,15.685362517099863,20.681258549931602,CAUCA,CAUCA,20162,2021,68,74,66,68,69,341.15384615384613,157,150,163,201,162,166.6,TRUE
SB11201510007196,F,18.259917920656633,24.25718194254446,VALLE,BOGOTÁ,20151,2021,100,100,100,74,82,449.23076923076917,193,233,215,223,149,202.6,FALSE
SB11201720080628,F,16.70861833105335,20.705882352941178,CUNDINAMARCA,BOGOTÁ,20172,2021,71,77,71,65,68,346.9230769230769,181,185,151,188,148,170.6,FALSE
SB11201520007393,M,16.741450068399452,22.738714090287278,BOGOTA,BOGOTÁ,20152,2021,62,70,59,60,68,314.2307692307692,157,180,149,178,126,158,FALSE
SB11201110050222,F,19.006839945280436,29.00136798905609,BOGOTÁ,SAN ANDRES,20111,2021,49.85,77.68,57.82333333333333,58.05,52.07,281.1769230769231,154,0,177,300,182,162.6,FALSE
SB11201720286790,F,15.075239398084815,19.389876880984954,BOGOTA,BOGOTÁ,20172,2021,82,82,69,69,70,366.15384615384613,207,168,207,214,115,182.2,FALSE
SB11201520302318,M,17.012311901504788,23.009575923392614,SUCRE,BOLIVAR,20152,2021,57,46,48,47,40,239.23076923076923,123,111,107,140,67,109.6,FALSE
SB11201520303294,F,17.080711354309166,23.077975376196992,CUNDINAMARCA,NA,20152,2021,58,82,59,57,66,308.46153846153845,156,180,130,173,121,152,NA
SB11201420077103,F,16.27906976744186,23.2749658002736,ANTIOQUIA,ANTIOQUIA,20142,2021,69,88,69,62,71,346.53846153846155,179,181,170,206,148,176.8,TRUE
SB11201610015903,M,18.142270861833104,23.138166894664842,BOGOTA,BOGOTÁ,20161,2021,76,97,72,63,79,371.9230769230769,187,165,134,300,125,182.2,FALSE
SB11201220420686,F,17.419972640218877,26.41313269493844,CAQUETA,BOGOTÁ,20122,2021,49,57,53,46,54,255,143,148,136,160,195,156.4,FALSE
SB11201720414069,M,17.540355677154583,21.53761969904241,BOGOTA,BOGOTÁ,20172,2021,72,84,66,66,72,350.76923076923083,208,207,210,300,128,210.6,FALSE
SB11201120332321,M,16.456908344733243,26.451436388508892,BOGOTA,CUNDINAMARCA,20112,2021,60,45,57.666666666666664,58,57,285.7692307692308,154,141,186,166,174,164.2,FALSE
SB11201710021110,M,17.813953488372093,21.81121751025992,VALLE,VALLE,20171,2021,64,73,67,59,55,310.7692307692308,176,156,161,196,162,170.2,TRUE
