ID,Finca,Dieta,Produccion_Leche_L
17,Finca_A,Concentrado+Pasto,52.21
76,Finca_B,Ensilaje+Concentrado,51.31
58,Finca_B,Concentrado+Pasto,48.17
54,Finca_B,Pasto,39.19
99,Finca_C,Concentrado+Pasto,52.37
73,Finca_B,Ensilaje+Concentrado,45.34
9,Finca_A,Pasto,43.02
28,Finca_A,Concentrado+Pasto,46.01
37,Finca_A,Ensilaje+Concentrado,52.02
39,Finca_A,Ensilaje+Concentrado,52.73
115,Finca_C,Ensilaje+Concentrado,58.44
95,Finca_C,Concentrado+Pasto,46.8
106,Finca_C,Concentrado+Pasto,52.35
114,Finca_C,Ensilaje+Concentrado,56.29
4,Finca_A,Pasto,35.83
55,Finca_B,Pasto,38.36
97,Finca_C,Concentrado+Pasto,51.43
18,Finca_A,Concentrado+Pasto,48.16
117,Finca_C,Ensilaje+Concentrado,58.55
11,Finca_A,Pasto,37.25
75,Finca_B,Ensilaje+Concentrado,50.44
5,Finca_A,Pasto,37.86
68,Finca_B,Concentrado+Pasto,39.21
108,Finca_C,Ensilaje+Concentrado,54.39
12,Finca_A,Pasto,43.93
64,Finca_B,Concentrado+Pasto,46.19
46,Finca_B,Pasto,36.86
14,Finca_A,Pasto,44.96
69,Finca_B,Ensilaje+Concentrado,48.87
107,Finca_C,Concentrado+Pasto,44.95
31,Finca_A,Ensilaje+Concentrado,52.41
59,Finca_B,Concentrado+Pasto,45.13
91,Finca_C,Pasto,40.58
103,Finca_C,Concentrado+Pasto,48.72
47,Finca_B,Pasto,36.85
88,Finca_C,Pasto,44.76
101,Finca_C,Concentrado+Pasto,49.35
90,Finca_C,Pasto,41.29
80,Finca_B,Ensilaje+Concentrado,51.17
83,Finca_C,Pasto,48.06
56,Finca_B,Concentrado+Pasto,45.69
87,Finca_C,Pasto,37.54
19,Finca_A,Concentrado+Pasto,53.84
63,Finca_B,Concentrado+Pasto,42.9
120,Finca_C,Ensilaje+Concentrado,52.7
29,Finca_A,Ensilaje+Concentrado,58.45
86,Finca_C,Pasto,44.55
3,Finca_A,Pasto,42.4
119,Finca_C,Ensilaje+Concentrado,51.7
65,Finca_B,Concentrado+Pasto,43.37
93,Finca_C,Pasto,46.08
72,Finca_B,Ensilaje+Concentrado,50.38
50,Finca_B,Pasto,37.73
34,Finca_A,Ensilaje+Concentrado,54.89
82,Finca_C,Pasto,40.68
2,Finca_A,Pasto,41.87
71,Finca_B,Ensilaje+Concentrado,49.99
44,Finca_B,Pasto,36.75
40,Finca_A,Ensilaje+Concentrado,53.88
33,Finca_A,Ensilaje+Concentrado,48
92,Finca_C,Pasto,39.99
74,Finca_B,Ensilaje+Concentrado,54.83
116,Finca_C,Ensilaje+Concentrado,58.95
8,Finca_A,Pasto,40.75
36,Finca_A,Ensilaje+Concentrado,59.45
42,Finca_A,Ensilaje+Concentrado,55.18
77,Finca_B,Ensilaje+Concentrado,50.16
25,Finca_A,Concentrado+Pasto,46.89
10,Finca_A,Pasto,41.72
98,Finca_C,Concentrado+Pasto,50.51
60,Finca_B,Concentrado+Pasto,45.23
102,Finca_C,Concentrado+Pasto,51.61
38,Finca_A,Ensilaje+Concentrado,53.58
53,Finca_B,Pasto,38.54
30,Finca_A,Ensilaje+Concentrado,50.73
62,Finca_B,Concentrado+Pasto,40.55
61,Finca_B,Concentrado+Pasto,36.74
111,Finca_C,Ensilaje+Concentrado,53.57
24,Finca_A,Concentrado+Pasto,47.62
43,Finca_B,Pasto,35.75
48,Finca_B,Pasto,38.81
7,Finca_A,Pasto,42.07
22,Finca_A,Concentrado+Pasto,41.85
52,Finca_B,Pasto,35.73
35,Finca_A,Ensilaje+Concentrado,54.51
67,Finca_B,Concentrado+Pasto,48.19
113,Finca_C,Ensilaje+Concentrado,52.56
70,Finca_B,Ensilaje+Concentrado,48.19
105,Finca_C,Concentrado+Pasto,43.95
51,Finca_B,Pasto,34.51
100,Finca_C,Concentrado+Pasto,48.49
23,Finca_A,Concentrado+Pasto,42.72
49,Finca_B,Pasto,32.97
110,Finca_C,Ensilaje+Concentrado,57.06
1,Finca_A,Pasto,35.97
16,Finca_A,Concentrado+Pasto,52.84
20,Finca_A,Concentrado+Pasto,51.61
81,Finca_B,Ensilaje+Concentrado,47.26
21,Finca_A,Concentrado+Pasto,45.58
109,Finca_C,Ensilaje+Concentrado,54.89
84,Finca_C,Pasto,42.22
57,Finca_B,Concentrado+Pasto,42.26
112,Finca_C,Ensilaje+Concentrado,55.46
78,Finca_B,Ensilaje+Concentrado,47.94
45,Finca_B,Pasto,42.74
41,Finca_A,Ensilaje+Concentrado,53.91
15,Finca_A,Concentrado+Pasto,42.68
66,Finca_B,Concentrado+Pasto,48.44
26,Finca_A,Concentrado+Pasto,50.4
6,Finca_A,Pasto,39.03
27,Finca_A,Concentrado+Pasto,45.61
89,Finca_C,Pasto,42.44
96,Finca_C,Concentrado+Pasto,48.76
94,Finca_C,Pasto,46.24
79,Finca_B,Ensilaje+Concentrado,47.4
104,Finca_C,Concentrado+Pasto,49.21
32,Finca_A,Ensilaje+Concentrado,52.22
118,Finca_C,Ensilaje+Concentrado,59.62
13,Finca_A,Pasto,42.97
85,Finca_C,Pasto,44.13
