ID,Tratamiento,Peso_Vainas_g
30,Orgánica,75.03
94,Mixto,74.98
89,Mixto,77.39
16,Control,59.3
88,Mixto,83.48
54,Química,85.95
75,Química,69.5
48,Orgánica,61.27
20,Control,41.22
67,Química,78.59
36,Orgánica,70.51
52,Química,74.77
22,Control,43.26
49,Orgánica,71.24
42,Orgánica,63.34
59,Química,75.99
84,Mixto,85.16
11,Control,54.79
55,Química,73.19
8,Control,34.88
46,Orgánica,56.02
66,Química,77.43
77,Mixto,77.72
80,Mixto,78.89
70,Química,91.4
72,Química,56.53
44,Orgánica,82.35
32,Orgánica,62.64
90,Mixto,89.19
45,Orgánica,74.66
14,Control,45.89
97,Mixto,97.5
33,Orgánica,72.16
40,Orgánica,61.96
91,Mixto,87.95
10,Control,41.43
25,Control,40
81,Mixto,80.05
18,Control,29.27
61,Química,78.04
53,Química,74.66
9,Control,39.51
7,Control,48.69
58,Química,79.68
65,Química,66.43
24,Control,39.17
95,Mixto,90.89
23,Control,36.79
26,Orgánica,51.51
43,Orgánica,54.88
68,Química,75.42
29,Orgánica,55.89
56,Química,87.13
13,Control,48.21
51,Química,77.03
83,Mixto,77.03
64,Química,66.85
98,Mixto,92.26
57,Química,62.61
74,Química,69.33
60,Química,76.73
78,Mixto,70.23
73,Química,83.05
92,Mixto,84.39
82,Mixto,83.08
85,Mixto,78.24
79,Mixto,81.45
76,Mixto,88.2
50,Orgánica,64.33
6,Control,58.72
27,Orgánica,71.7
1,Control,40.52
39,Orgánica,62.55
93,Mixto,81.91
17,Control,48.98
28,Orgánica,66.23
21,Control,36.46
86,Mixto,82.65
99,Mixto,78.11
35,Orgánica,71.57
37,Orgánica,69.43
31,Orgánica,68.41
62,Química,70.98
41,Orgánica,59.44
69,Química,82.38
5,Control,46.03
96,Mixto,75.2
4,Control,45.56
3,Control,57.47
38,Orgánica,64.5
87,Mixto,88.77
2,Control,43.16
47,Orgánica,61.78
71,Química,71.07
100,Mixto,71.79
15,Control,40.55
19,Control,50.61
63,Química,72.33
34,Orgánica,72.03
12,Control,47.88
