bloque,raza,rep,produccion_leche
Granja_A,Holstein,1,29.8
Granja_A,Jersey,1,22.8
Granja_A,Pardo_Suizo,1,24.8
Granja_B,Holstein,1,29.6
Granja_B,Jersey,1,26.1
Granja_B,Pardo_Suizo,1,29.3
Granja_C,Holstein,1,27.5
Granja_C,Jersey,1,20.3
Granja_C,Pardo_Suizo,1,21.3
Granja_A,Holstein,2,26
Granja_A,Jersey,2,19
Granja_A,Pardo_Suizo,2,25.8
Granja_B,Holstein,2,31.5
Granja_B,Jersey,2,24.5
Granja_B,Pardo_Suizo,2,21.1
Granja_C,Holstein,2,26.2
Granja_C,Jersey,2,18.8
Granja_C,Pardo_Suizo,2,24.3
Granja_A,Holstein,3,25.1
Granja_A,Jersey,3,18.4
Granja_A,Pardo_Suizo,3,27.1
Granja_B,Holstein,3,30.6
Granja_B,Jersey,3,25.9
Granja_B,Pardo_Suizo,3,26.6
Granja_C,Holstein,3,27.2
Granja_C,Jersey,3,17.7
Granja_C,Pardo_Suizo,3,23.3
Granja_A,Holstein,4,29.2
Granja_A,Jersey,4,18.3
Granja_A,Pardo_Suizo,4,24.8
Granja_B,Holstein,4,27.4
Granja_B,Jersey,4,23.4
Granja_B,Pardo_Suizo,4,26.1
Granja_C,Holstein,4,28.7
Granja_C,Jersey,4,19.6
Granja_C,Pardo_Suizo,4,24.2
Granja_A,Holstein,5,28.6
Granja_A,Jersey,5,21.1
Granja_A,Pardo_Suizo,5,24
Granja_B,Holstein,5,30.8
Granja_B,Jersey,5,22.4
Granja_B,Pardo_Suizo,5,27
Granja_C,Holstein,5,27.4
Granja_C,Jersey,5,24.1
Granja_C,Pardo_Suizo,5,21.3
