fecha,p_externo,p_interno
2025-08-27,385.3,3140000
2025-08-26,372.3,3063000
2025-08-25,377.75,3096000
2025-08-22,378.3,3095000
2025-08-21,365,3000000
2025-08-20,353.45,2895000
2025-08-19,356.2,2865000
2025-08-18,343.6,2780000
2025-08-15,341.65,2767000
2025-08-14,326.5,2670000
2025-08-13,319.6,2596000
2025-08-12,315.15,2553000
2025-08-11,320.7,2610000
2025-08-08,309.35,2526000
2025-08-07,297.8,2428000
2025-08-06,293.4,2392000
2025-08-05,298.7,2438000
2025-08-04,288.55,2356000
2025-08-01,284.2,2336000
2025-07-31,295.8,2466000
2025-07-30,293.4,2447000
2025-07-29,296.5,2450000
2025-07-28,301.7,2507000
2025-07-25,297.55,2457000
2025-07-24,304.85,2478000
2025-07-23,301.35,2430000
2025-07-22,296.35,2395000
2025-07-21,291.95,2340000
2025-07-18,303.6,2422000
2025-07-17,307.2,2451000
2025-07-16,308.45,2460000
2025-07-15,297.35,2377000
2025-07-14,301.85,2397000
2025-07-11,286.5,2270000
2025-07-10,287.8,2286000
2025-07-09,284.05,2253000
2025-07-08,285.6,2290000
2025-07-07,278.25,2225000
2025-07-03,289.6,2285000
2025-07-02,291.2,2300000
2025-07-01,291.95,2328000
2025-06-30,300.1,2440000
2025-06-27,303.75,2467000
2025-06-26,305.65,2445000
2025-06-25,304.5,2450000
2025-06-24,311.35,2515000
2025-06-23,326.55,2652000
2025-06-20,315.05,2555000
2025-06-18,324.9,2590000
2025-06-17,335.85,2700000
2025-06-16,343.95,2770000
2025-06-13,349.7,2848000
2025-06-12,347.8,2850000
2025-06-11,350.65,2890000
2025-06-10,355.05,2940000
2025-06-09,361.55,2950000
2025-06-06,358.05,2895000
2025-06-05,359.75,2900000
2025-06-04,346.15,2775000
2025-06-03,340.85,2719000
2025-06-02,344.45,2783000
2025-05-30,342.45,2763000
2025-05-29,348.4,2791000
2025-05-28,351.95,2822000
2025-05-27,361.7,2893000
2025-05-23,361,2917000
2025-05-22,360.75,2930000
2025-05-21,370.3,3014000
2025-05-20,369.3,2997000
2025-05-19,374.7,3049000
2025-05-16,365.65,2973000
2025-05-15,375,3072000
2025-05-14,364.8,2965000
2025-05-13,376.35,3076000
2025-05-12,372.95,3050000
2025-05-09,387.75,3180000
2025-05-08,387.35,3185000
2025-05-07,384.1,3175000
2025-05-06,389.85,3233000
2025-05-05,388.25,3207000
2025-05-02,385.4,3129000
2025-05-01,384.65,3100000
2025-04-30,400.75,3239000
2025-04-29,399.8,3197000
2025-04-28,410.05,3311000
2025-04-25,399.85,3230000
2025-04-24,408,3256000
2025-04-23,392.4,3172000
2025-04-22,377.65,3049000
2025-04-21,366.8,2971000
